invoice_id,seller_gstin,buyer_gstin,amount,tax,reported_by_seller,claimed_by_buyer
INV001,N098QOW3F17I07N,7LT0TPC5YC33ULT,85000,15300,true,true
INV002,7LT0TPC5YC33ULT,JZDJTMVKP18A283,92000,16560,false,true
INV003,JZDJTMVKP18A283,MDD79XNL6Q5DZNK,61000,10980,true,true
INV004,MDD79XNL6Q5DZNK,UR81B97XVBNEWG9,73000,13140,true,true
INV005,UR81B97XVBNEWG9,K9LWE7ZI313MSF2,88000,15840,false,true
INV006,K9LWE7ZI313MSF2,ZJYU0POJ9N4FGYV,54000,9720,true,true
INV007,ZJYU0POJ9N4FGYV,I6WVANL5RJSJ0B0,67000,12060,true,true
INV008,I6WVANL5RJSJ0B0,VTB2VY3H2RR4HJ9,99000,17820,false,true
INV009,VTB2VY3H2RR4HJ9,F7JQ7BZNFI48CL8,45000,8100,true,true
INV010,F7JQ7BZNFI48CL8,2M8WU28O74XKHST,76000,13680,true,true
INV011,2M8WU28O74XKHST,3FFGQOZ3ECV86GF,58000,10440,true,true
INV012,3FFGQOZ3ECV86GF,8XFVJ1ZUYXU5H7E,47000,8460,true,true
INV013,8XFVJ1ZUYXU5H7E,DZ9SGFYZKP5AYKJ,110000,19800,false,true
INV014,DZ9SGFYZKP5AYKJ,2LIU5Y26LO84W8L,97000,17460,true,true
INV015,2LIU5Y26LO84W8L,N098QOW3F17I07N,63000,11340,true,true
